Shaun Leung swl567 11241403
A4Q1
size|utility|move|time
1 | 1 | 0 | 6.723403930664062e-05
2 | 1 | 0 | 8.869171142578125e-05
3 | 1 | 1 | 0.00017070770263671875
4 | -1 | 0 | 0.0005342960357666016
5 | 1 | 0 | 0.0018248558044433594
6 | 1 | 1 | 0.00439763069152832
7 | 1 | 2 | 0.007861852645874023
8 | -1 | 0 | 0.017778396606445312
9 | -1 | 0 | 0.08385634422302246
10 | 1 | 2 | 0.37706589698791504
A4Q2
size|utility|move|time
1 | 1 | 0 | 3.170967102050781e-05
2 | 1 | 0 | 3.504753112792969e-05
3 | 1 | 1 | 6.413459777832031e-05
4 | -2 | 0 | 0.00019407272338867188
5 | 5 | 1 | 0.0005192756652832031
6 | 5 | 1 | 0.0010950565338134766
7 | 5 | 2 | 0.004453420639038086
8 | -6 | 0 | 0.01815199851989746
9 | -6 | 0 | 0.08255743980407715
10 | 7 | 2 | 0.3855311870574951
A4Q3
size|utility|move|time
1 | 1 | 0 | 2.6226043701171875e-05
2 | 1 | 0 | 2.9802322387695312e-05
3 | 1 | 1 | 5.555152893066406e-05
4 | -1 | 0 | 0.00016021728515625
5 | 1 | 0 | 0.0005965232849121094
6 | 1 | 1 | 0.0020842552185058594
7 | 1 | 2 | 0.005759239196777344
8 | -1 | 0 | 0.00851893424987793
9 | -1 | 0 | 0.019854068756103516
10 | 1 | 2 | 0.06499457359313965
A4Q4
size|utility|move|time
1 | 1 | 0 | 1.52587890625e-05
2 | 1 | 0 | 1.8358230590820312e-05
3 | 1 | 1 | 3.24249267578125e-05
4 | -2 | 0 | 9.34600830078125e-05
5 | 5 | 1 | 0.00032019615173339844
6 | 5 | 1 | 0.0008959770202636719
7 | 5 | 2 | 0.002794027328491211
8 | -6 | 0 | 0.007803201675415039
9 | -6 | 0 | 0.024158954620361328
10 | 7 | 2 | 0.08175277709960938
A4Q5
size|utility|move|time
1 | 1 | 0 | 2.5987625122070312e-05
2 | 1 | 0 | 2.9087066650390625e-05
3 | 1 | 1 | 5.555152893066406e-05
4 | -1 | 0 | 0.0001614093780517578
5 | 1 | 0 | 0.0005705356597900391
6 | 1 | 1 | 0.0027413368225097656
7 | 1 | 2 | 0.007993698120117188
8 | 1 | 7 | 0.008722066879272461
9 | 1 | 0 | 0.020279407501220703
10 | 1 | 0 | 0.04414939880371094
11 | 1 | 0 | 0.08989214897155762
12 | 1 | 1 | 0.16880369186401367
13 | 1 | 0 | 0.30615901947021484
14 | 1 | 0 | 0.5125749111175537
15 | 1 | 0 | 0.8383877277374268
16 | 1 | 0 | 1.3075833320617676
17 | 1 | 0 | 1.9937098026275635
18 | 1 | 0 | 2.939908027648926
19 | 1 | 0 | 4.238229513168335
20 | 1 | 0 | 5.962483882904053
A4Q6
size|utility|move|time
1 | 1 | 0 | 2.3126602172851562e-05
2 | 1 | 0 | 2.5510787963867188e-05
3 | 1 | 1 | 5.173683166503906e-05
4 | -2 | 0 | 0.0001347064971923828
5 | 5 | 1 | 0.00047588348388671875
6 | 5 | 1 | 0.0016117095947265625
7 | 5 | 2 | 0.004629850387573242
8 | 5 | 1 | 0.009350061416625977
9 | 5 | 0 | 0.020341873168945312
10 | 7 | 0 | 0.04405546188354492
11 | 7 | 2 | 0.08922028541564941
12 | 7 | 1 | 0.1704087257385254
13 | 9 | 0 | 0.3037750720977783
14 | 11 | 1 | 0.5175681114196777
15 | 11 | 0 | 0.8415770530700684
16 | 11 | 1 | 1.3115332126617432
17 | 13 | 0 | 1.9978370666503906
18 | 13 | 0 | 2.9406139850616455
